Time(ddMMyy_HHmmssfff) Time(s) x(mm) y(mm) z(mm) rx(deg) ry(deg) rz(deg)
200426_115126542 1.78400000000011 2.85339041840408 15.6201471252588 5.80768171523107 3.90494338138531 3.91528871170331 4.8982601512097
200426_115126619 1.81600000000026 2.94292030544969 15.6186092420274 5.85220175836628 3.90494338138531 3.91528871170331 4.8982601512097
200426_115126636 1.88000000000011 2.90087001916928 15.7209348677984 5.94029965694682 3.94291977184933 3.94968534509569 4.89096285092393
200426_115126652 1.89600000000019 2.99282989084526 15.8193571747922 5.98338598293731 3.95080451388446 3.97422869057413 4.96593446961736
200426_115126668 1.91200000000026 2.99282989084526 15.8193571747922 5.98338598293731 3.95080451388446 3.97422869057413 4.96593446961736
200426_115126688 1.92800000000034 2.99525987547557 15.9193173650174 5.98195226579253 3.95080451388446 3.97422869057413 4.96593446961736
200426_115126716 1.96100000000024 2.99768986010588 16.0192775552425 5.98051854864775 4.01818945765332 3.99628585537327 5.00499459075875
200426_115126731 1.97600000000011 2.99768986010588 16.0192775552425 5.98051854864775 4.01818945765332 3.99628585537327 5.00499459075875
200426_115126796 1.99200000000019 2.99768986010588 16.0192775552425 5.98051854864775 4.01818945765332 3.99628585537327 5.00499459075875
200426_115126814 2.05700000000024 2.99525987547557 15.9193173650174 5.98195226579253 3.95080451388446 3.97422869057413 4.96593446961736
200426_115126843 2.08800000000019 3.03731016175598 15.8169917392464 5.89385436721199 3.97228458052218 3.93739928561768 4.93727928344852
200426_115126860 2.10400000000027 2.94778027471034 15.8185296224777 5.84933432407678 3.97228458052218 3.93739928561768 4.93727928344852
200426_115126892 2.12000000000035 2.94535029008 15.7185694322525 5.85076804122156 3.90494338138531 3.91528871170331 4.8982601512097
200426_115126907 2.15300000000025 2.94292030544969 15.6186092420274 5.85220175836628 3.90494338138531 3.91528871170331 4.8982601512097
200426_115126923 2.16800000000012 2.98740057636041 15.6162438064816 5.76267014264101 3.90494338138531 3.91528871170331 4.8982601512097
200426_115126956 2.20000000000027 2.98740057636041 15.6162438064816 5.76267014264101 3.8755874595328 3.92753088256794 4.8519420610648
200426_115126971 2.21600000000035 2.98740057636041 15.6162438064816 5.76267014264101 3.8755874595328 3.92753088256794 4.8519420610648
200426_115126989 2.23200000000043 2.9849705917301 15.5162836162564 5.76410385978579 3.8755874595328 3.92753088256794 4.8519420610648
200426_115127019 2.24900000000025 2.9849705917301 15.5162836162564 5.76410385978579 3.85915215440219 3.85630313938741 4.83063201007923
200426_115127039 2.2800000000002 2.83338119613735 14.8172726155973 5.59556817780339 3.70059365804106 3.71587422758943 4.65663320493751
200426_115127067 2.31200000000035 2.83338119613735 14.8172726155973 5.59556817780339 3.70059365804106 3.71587422758943 4.65663320493751
200426_115127098 2.32800000000043 2.87300149778746 14.6149867996012 5.50890399636756 3.65505551864438 3.65669953810006 4.58918382106591
200426_115127157 2.36800000000039 2.77861164148119 14.4166043023823 5.46725138752191 3.60958706073506 3.59747978231171 4.52178013963995
200426_115127177 2.41600000000017 2.77861164148119 14.4166043023823 5.46725138752191 3.60958706073506 3.59747978231171 4.52178013963995
200426_115127224 2.43200000000024 2.72870205608564 14.2158563696174 5.33606716295088 3.56418823337446 3.53821506989685 4.45442204901976
200426_115127256 2.48100000000022 2.67636248605983 13.9151482466274 5.20631665552463 3.48965765369204 3.49082740774818 4.34090618506101
200426_115127272 2.51200000000017 2.56925336137779 13.2137718104223 4.94824935781691 3.31643258587694 3.27796755378394 4.14686426126272
200426_115127320 2.54400000000032 2.51448380672159 12.8131034972073 4.81993256753543 3.21319748234709 3.24183770329527 3.98748946922064
200426_115127336 2.57700000000023 2.42252393504566 12.7146811902134 4.776846241545 3.19739919734182 3.17052552909924 3.96660603638108
200426_115127352 2.5920000000001 2.42009395041532 12.6147209999883 4.77827995868972 3.19739919734182 3.17052552909924 3.96660603638108
200426_115127368 2.60800000000017 2.42009395041532 12.6147209999883 4.77827995868972 3.19739919734182 3.17052552909924 3.96660603638108
200426_115127400 2.62400000000025 2.46214423669575 12.5123953742173 4.69018206010918 3.15255096855429 3.11085802397907 3.89962134422479
200426_115127416 2.6560000000004 2.26550522496811 11.8125568212436 4.38759471926625 2.92987942089304 2.94514951079582 3.68908025552231
200426_115127448 2.6880000000001 2.26550522496811 11.8125568212436 4.38759471926625 2.92987942089304 2.94514951079582 3.68908025552231
200426_115127463 2.70400000000018 2.21073567031192 11.4118885080285 4.25927792898477 2.87835083886058 2.85996240547407 3.54780240852473
200426_115127479 2.72000000000025 2.11391582937534 11.1135458205844 4.21905903728384 2.79642530654919 2.76531148511705 3.48890340417082
200426_115127495 2.73600000000033 2.00923668932363 10.5121295746045 3.95955802243134 2.6414637049447 2.62174924555488 3.31754676645058
200426_115127511 2.75200000000041 2.00923668932363 10.5121295746045 3.95955802243134 2.6414637049447 2.62174924555488 3.31754676645058
200426_115127527 2.76900000000023 2.00923668932363 10.5121295746045 3.95955802243134 2.6414637049447 2.62174924555488 3.31754676645058
200426_115127544 2.78400000000011 2.00680670469332 10.4121693843794 3.96099173957612 2.61256562418465 2.63295922515254 3.2715500253189
200426_115127559 2.80000000000018 2.00680670469332 10.4121693843794 3.96099173957612 2.61256562418465 2.63295922515254 3.2715500253189
200426_115127574 2.81600000000026 1.9593271039281 10.3113816418397 3.82837379786037 2.56842143891735 2.57275070476636 3.20505777921943
200426_115127590 2.83200000000033 1.9593271039281 10.3113816418397 3.82837379786037 2.56842143891735 2.57275070476636 3.20505777921943
200426_115127606 2.84800000000041 1.81259767759596 9.81229102163076 3.6569706815884 2.4514953292989 2.46326743214967 3.02625055783553
200426_115127622 2.86500000000024 1.81259767759596 9.81229102163076 3.6569706815884 2.4514953292989 2.46326743214967 3.02625055783553
200426_115127638 2.88000000000011 1.85464796387639 9.7099653958598 3.56887278300786 2.38533378268874 2.43952440335601 2.98826131521386
200426_115127676 2.89600000000019 1.70548855291396 9.11091458542575 3.39890338388074 2.26038675564967 2.2838367105694 2.8637248482549
200426_115127702 2.94400000000041 1.54846984283638 8.20879021645584 3.00965186160198 2.05724780926315 2.05224082038606 2.5533527962917
200426_115127719 2.96100000000024 1.54360987357576 8.00886983600554 3.01251929589154 1.99139633906493 2.02809531599 2.51563879176219
200426_115127734 2.97600000000011 1.54360987357576 8.00886983600554 3.01251929589154 1.99139633906493 2.02809531599 2.51563879176219
200426_115127782 2.99200000000019 1.54117988894545 7.90890964578045 3.01395301303626 2.01382908452931 1.99151234323372 2.48734685746755
200426_115127846 3.05700000000024 1.09070232620364 6.00860403639274 2.28189525821369 1.48687007736384 1.50175770296988 1.86863917818853
200426_115127894 3.12000000000035 1.09070232620364 6.00860403639274 2.28189525821369 1.48687007736384 1.50175770296988 1.86863917818853
200426_115127915 3.15300000000025 1.12789264322342 5.70635803017149 2.19666479392265 1.44414767027827 1.44051319270596 1.80310749310159
200426_115127941 3.16800000000012 1.03350278691715 5.50797553295251 2.15501218507694 1.40149309714673 1.37922818339727 1.73761731188892
200426_115127993 3.20000000000027 0.973303917776178 4.90419385142678 1.80597955449917 1.22273608689226 1.24166852717926 1.52391879810244
200426_115128016 3.25600000000031 0.973303917776178 4.90419385142678 1.80597955449917 1.22273608689226 1.24166852717926 1.52391879810244
200426_115128032 3.27200000000039 0.973303917776178 4.90419385142678 1.80597955449917 1.22273608689226 1.24166852717926 1.52391879810244
200426_115128061 3.28900000000021 0.719465366762037 3.70372679501281 1.37650914051954 0.946485589667025 0.908544782033138 1.16081493289203
200426_115128077 3.32000000000016 0.719465366762037 3.70372679501281 1.37650914051954 0.946485589667025 0.908544782033138 1.16081493289203
200426_115128093 3.33600000000024 0.719465366762037 3.70372679501281 1.37650914051954 0.946485589667025 0.908544782033138 1.16081493289203
